pk_order,pk_consumption
520,545
242,312
520,510
710,645
399,413
650,613
646,554
610,545
510,555
541,363
290,354
195,145
541,489
455,475
546,530
3510,3445
420,485
645,687
198,154
3521,3541
300,253
399,464
710,645
698,646
541,564
541,564
345,385
420,320
