pk_order,pk_consumption
521,510
342,346
254,310
3554,3512
134,194
245,210
646,683
2541,2501
3542,3594
254,310
841,864
236,210
764,810
234,298
542,564
544,564
192,250
353,327
356,410
541,599
985,988
321,475
3526,541
214,401
2456,645
334,564
388,3010
945,685
154,1422
798,646
641,590
